City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Oranjemund,NA,-28.55,16.4333,56.66,93,0,8.19,clear sky
193,Clonmel,IE,52.355,-7.7039,57.42,80,100,4.27,overcast clouds
194,Ust-Barguzin,RU,53.45,108.9833,32.45,62,99,3.56,overcast clouds
195,Morro Bay,US,35.3658,-120.8499,80.4,63,12,3.0,few clouds
196,Terrace,CA,54.5163,-128.6035,66.06,67,89,0.78,overcast clouds
197,Shilong,CN,23.1123,113.8425,78.58,84,3,2.84,clear sky
198,Basco,PH,20.4487,121.9702,83.62,75,93,17.83,overcast clouds
199,Axim,GH,4.8699,-2.2405,75.13,90,24,4.5,few clouds
200,Talnakh,RU,69.4865,88.3972,31.21,94,86,11.32,light snow
201,Tessalit,ML,20.1986,1.0114,93.49,21,77,7.81,broken clouds
202,Clyde River,CA,70.4692,-68.5914,30.43,74,100,4.61,haze
203,Lebu,CL,-37.6167,-73.65,51.48,84,80,4.74,broken clouds
204,Ahipara,NZ,-35.1667,173.1667,59.85,87,67,12.03,broken clouds
205,Thompson,CA,55.7435,-97.8558,71.76,37,40,19.57,scattered clouds
206,Pangnirtung,CA,66.1451,-65.7125,30.83,59,1,3.29,clear sky
207,Sao Filipe,CV,14.8961,-24.4956,78.3,71,71,8.48,broken clouds
208,Trairi,BR,-3.2778,-39.2689,77.56,77,7,11.77,clear sky
209,Yulara,AU,-25.2406,130.9889,71.71,50,7,13.2,clear sky
210,Muros,ES,42.7762,-9.0603,61.84,85,99,7.14,overcast clouds
211,Kieta,PG,-6.2167,155.6333,84.69,65,23,4.12,few clouds
212,Byron Bay,AU,-28.65,153.6167,62.71,72,74,8.46,broken clouds
213,Otavi,NA,-19.65,17.3333,76.86,15,0,9.8,clear sky
214,Severo-Kurilsk,RU,50.6789,156.125,47.55,64,97,10.18,overcast clouds
215,Vila,PT,42.0304,-8.1588,58.08,53,88,3.96,overcast clouds
216,Narsaq,GL,60.9167,-46.05,37.62,62,40,3.83,scattered clouds
217,Vostok,RU,46.4856,135.8833,55.89,73,59,4.88,broken clouds
218,Nuuk,GL,64.1835,-51.7216,36.21,64,20,4.61,few clouds
219,Port Elizabeth,ZA,-33.918,25.5701,64.31,94,19,4.0,few clouds
220,Melita,CA,49.2681,-100.9967,70.03,40,60,3.04,broken clouds
221,Carlyle,US,38.6103,-89.3726,76.42,44,0,5.01,clear sky
222,Scottsbluff,US,41.8666,-103.6672,71.78,44,0,12.66,clear sky
223,Chifeng,CN,42.2683,118.9636,43.41,78,100,15.26,overcast clouds
224,Seoul,KR,37.5683,126.9778,71.04,97,100,5.75,light rain
225,Necochea,AR,-38.5473,-58.7368,43.48,76,75,9.24,broken clouds
226,Hasaki,JP,35.7333,140.8333,74.21,67,99,7.23,overcast clouds
227,Ossora,RU,59.2353,163.0719,41.92,69,77,4.38,broken clouds
228,Tazovskiy,RU,67.4667,78.7,32.27,97,100,13.22,light snow
229,Kosh-Agach,RU,50.0,88.6667,18.28,47,0,3.89,clear sky
230,San Cristobal,VE,7.7669,-72.225,77.18,87,81,3.27,broken clouds
231,Wajima,JP,37.4,136.9,73.74,72,100,9.82,overcast clouds
232,Merauke,ID,-8.4667,140.3333,80.85,82,62,10.02,broken clouds
233,Bathsheba,BB,13.2167,-59.5167,79.41,94,40,9.22,scattered clouds
234,Naze,JP,28.3667,129.4833,77.92,69,11,9.15,few clouds
235,Iskateley,RU,67.6803,53.1512,38.8,89,100,5.41,overcast clouds
236,Pevek,RU,69.7008,170.3133,30.76,88,100,10.0,overcast clouds
237,Baykit,RU,61.67,96.37,29.03,92,100,3.06,overcast clouds
238,Bodden Town,KY,19.2833,-81.25,84.2,65,20,8.05,few clouds
239,Saint-Augustin,CA,51.226,-58.6502,41.4,47,61,11.1,broken clouds
240,Puerto Maldonado,PE,-12.6,-69.1833,82.51,56,32,2.64,scattered clouds
241,Leningradskiy,RU,69.3833,178.4167,28.6,80,100,2.15,overcast clouds
242,Kuala Lipis,MY,4.1842,102.0468,72.73,99,100,1.3,overcast clouds
243,Namatanai,PG,-3.6667,152.4333,85.01,63,8,6.53,clear sky
244,Yaan,NG,7.3833,8.5667,71.69,96,57,4.34,light rain
245,Gat,IL,31.61,34.7642,78.4,72,0,4.09,clear sky
246,Saint-Leu,RE,-21.15,55.2833,68.83,73,40,3.51,scattered clouds
247,Porto Novo,BJ,6.4965,2.6036,75.9,88,95,2.01,overcast clouds
248,Mao,ES,39.8885,4.2658,64.96,82,0,2.3,clear sky
249,Adrar,MR,20.5022,-10.0711,89.04,32,99,8.5,light rain
250,Tumpat,MY,6.1978,102.171,75.94,92,100,1.59,overcast clouds
251,Escanaba,US,45.7453,-87.0646,56.52,77,0,4.61,clear sky
252,Iqaluit,CA,63.7506,-68.5145,29.93,74,40,0.0,scattered clouds
253,East London,ZA,-33.0153,27.9116,66.85,93,23,10.38,few clouds
254,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,88,61,12.39,broken clouds
255,Bulaevo,KZ,54.9056,70.4439,31.3,67,0,6.85,clear sky
256,Rondonopolis,BR,-16.4708,-54.6356,77.32,74,89,5.46,moderate rain
257,Patacamaya,BO,-17.2333,-67.9167,46.4,71,74,12.37,broken clouds
258,Pelym,RU,61.0108,61.9978,40.59,88,100,9.48,overcast clouds
259,Lukiv,UA,51.0521,25.4006,50.18,84,96,14.27,overcast clouds
260,Hornepayne,CA,49.2138,-84.7705,47.07,59,93,5.53,overcast clouds
261,Antofagasta,CL,-23.65,-70.4,58.28,77,46,6.6,scattered clouds
262,Sola,VU,-13.8833,167.55,80.44,75,14,8.14,few clouds
263,Ostrovnoy,RU,68.0531,39.5131,35.13,84,56,10.22,broken clouds
264,Santa Maria,BR,-29.6842,-53.8069,59.86,73,9,2.24,clear sky
265,Kilindoni,TZ,-7.9139,39.6668,75.43,69,15,13.33,few clouds
266,Karakol,KG,42.4907,78.3936,44.87,45,11,3.53,few clouds
267,Fortuna Foothills,US,32.6578,-114.4119,97.36,33,75,9.22,broken clouds
268,Kodino,RU,63.7198,39.6447,34.84,94,80,4.12,broken clouds
269,Jalu,LY,29.0331,21.5482,79.75,42,0,16.91,clear sky
270,Fortuna,US,40.5982,-124.1573,63.91,76,21,4.0,few clouds
271,Hobyo,SO,5.3505,48.5268,76.35,87,97,21.79,overcast clouds
272,Lazaro Cardenas,MX,17.9583,-102.2,79.97,86,82,4.5,broken clouds
273,Dukat,RU,62.55,155.55,17.35,91,88,4.83,overcast clouds
274,Tabou,CI,4.423,-7.3528,75.7,92,88,6.22,overcast clouds
275,San Patricio,US,28.017,-97.5169,82.49,39,100,9.86,overcast clouds
276,Wanning,CN,18.8003,110.3967,78.42,88,33,3.24,scattered clouds
277,Lompoc,US,34.6391,-120.4579,78.78,63,42,5.99,scattered clouds
278,Stargard Szczecinski,PL,53.3367,15.0499,54.82,88,16,15.35,few clouds
279,Fairlie,GB,55.756,-4.8556,53.51,87,73,1.99,broken clouds
280,Dingle,PH,10.9995,122.6711,79.65,89,95,5.3,overcast clouds
281,Gualaquiza,EC,-3.4,-78.55,66.34,82,90,2.19,light rain
282,Chernyshevskiy,RU,63.0128,112.4714,25.52,89,99,5.86,overcast clouds
283,Hithadhoo,MV,-0.6,73.0833,81.28,68,72,14.52,broken clouds
284,Shubarkuduk,KZ,49.1447,56.4872,45.07,23,20,10.07,few clouds
285,Niquero,CU,20.0431,-77.5828,81.0,76,87,2.68,overcast clouds
286,Cordoba,AR,-31.4135,-64.1811,73.76,15,0,4.0,clear sky
